127.0.0.1 - - [12/Dec/2021:20:27:29 +0900] "GET / HTTP/1.1" 200 11363
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:30:57 +0900] "GET /firstEE/selector.jsp HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:06 +0900] "GET /firstEE/selector1jsp HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:14 +0900] "GET /firstEE/selector1.jsp HTTP/1.1" 200 9872
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:14 +0900] "GET /firstEE/images/2021_christmas_drink1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:14 +0900] "GET /firstEE/images/2021_christmas_drink2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:14 +0900] "GET /firstEE/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:16 +0900] "GET /firstEE/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:16 +0900] "GET /firstEE/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:16 +0900] "GET /firstEE/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:16 +0900] "GET /firstEE/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:21 +0900] "POST /firstEE/login HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:30 +0900] "POST /firstEE/login HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:30 +0900] "GET /firstEE/ HTTP/1.1" 200 3148
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:30 +0900] "GET /firstEE/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:30 +0900] "GET /firstEE/css/section.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:30 +0900] "GET /firstEE/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:30 +0900] "GET /firstEE/js/menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:33 +0900] "GET /firstEE/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:33 +0900] "GET /firstEE/ HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/productlist HTTP/1.1" 200 4368
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C0003.jpg HTTP/1.1" 200 3979
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C0004.jpg HTTP/1.1" 200 4683
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C0001.jpg HTTP/1.1" 200 4044
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C0002.jpg HTTP/1.1" 200 4201
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C005.jpg HTTP/1.1" 200 4565
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C0010.jpg HTTP/1.1" 200 13079
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C007.jpg HTTP/1.1" 200 5562
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C0009.jpg HTTP/1.1" 200 4391
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C009.jpg HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C006.jpg HTTP/1.1" 200 15661
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C0007.jpg HTTP/1.1" 200 5610
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C0008.jpg HTTP/1.1" 200 13570
0:0:0:0:0:0:0:1 - - [12/Dec/2021:20:31:41 +0900] "GET /firstEE/images/C0005.jpg HTTP/1.1" 200 4977
